label,study_and_condition
0, carboplatin mixed tumors will be categorized by predominant cell type unless small cell elements present which case patient is ineligible
0, bb prolactin secreting adenoma diagnosis must not be known be refractory rbc platelet transfusions
1, bkm head neck neoplasms diagnosis patients previously treated brain metastases who on stable low dose corticosteroids treatment dexamethasone two mg day prednisolone ten mg day at least fourteen days before start treatment eligible
1, recmage a as asci patient has received any anti cancer systemic treatment including immunotherapy local intravesical bcg is allowed chemotherapy except
1, sirolimus hodgkin lymphoma diagnosis total bilirubin doc mg dl greater unless related hemolysis gilbert syndrome
1, placebo stage iva verrucous carcinoma larynx diagnosis any condition which investigator opinion deems patient an unsuitable candidate receive drug
0, endothelial growth factors patients may not have currently active second malignancy other non melanoma skin cancers patients not considered have currently active malignancy if they have completed therapy considered by their physician be at less thirty risk relapse
0, vaccines stage iii pancreatic cancer diagnosis recovered from prior surgery
0, carmustine stage iii marginal zone lymphoma diagnosis no serious disease condition that opinion investigator would compromise patient ability participate study
1, craniectomy glioblastoma diagnosis significant liver function impairment
0, etoposide intraocular lymphoma diagnosis amyloidosis
1, oxaliplatin metastatic colorectal cancer diagnosis prior bevacizumab use other agents targeting vegf
1, laboratory biomarker analysis stage iva colon cancer diagnosis nefazodone fluovoxamine
0, hormones er positive hertwo negative breast cancer neoplasms diagnosis able swallow retain oral medication
1, vorinostat mantle cell lymphoma diagnosis active uncontrolled infection other cutaneous infection
0, riluzole recurrent melanoma diagnosis patients brain lesions that have been treated whole brain radiotherapy clinically stable at least four weeks not taking steroids not receiving enzyme inducing anticonvulsants will be eligible
0, ifosfamide recurrent grade three follicular lymphoma diagnosis at least four weeks since prior cytotoxic chemotherapy six weeks nitrosoureas mitomycin recovered
0, vinblastine unspecified adult solid tumor protocol specific diagnosis at least three weeks since prior packed red blood cell transfusion at least one week since prior platelet transfusion hematopoietic growth factors no concurrent growth factors earlier twenty four hours after drug chemotherapy
1, albumin bound paclitaxel stage ia fallopian tube cancer diagnosis patients current serious non healing wound ulcer bone fracture patients granulating incisions healing by secondary intention no evidence fascial dehiscence infection eligible but require weekly wound examinations
1, immunoglobulins malignant ovarian mixed epithelial tumor diagnosis major surgical procedure anticipated during course this includes but is not limited abdominal surgery laparotomy laparoscopy prior disease progression such colostomy enterostomy reversal interval secondary cytoreductive surgery second look surgery please consult chair prior patient entry any questions related classification surgical procedures
1, laboratory biomarker analysis stage iiia primary peritoneal cancer diagnosis history autoimmune disorders requiring cytotoxic immunosuppressive therapy autoimmune disorders visceral involvement active inactive auto immune disorders rheumatoid arthritis moderate severe psoriasis multiple sclerosis systemic lupus erythematosus inflammatory bowel disease etc
0, antiviral agents contiguous stage ii adult lymphoblastic lymphoma diagnosis first allogeneic cell replete transplantation stem cells from peripheral blood bone marrow an human leukocyte antigen hla matched unrelated nonsyngeneic sibling donor
0, dexamethasone phosphate lymphoma diagnosis prior concurrent therapy
0, alvocidib stage ii pancreatic cancer diagnosis creatinine no greater doc mg dl
1, vitamin b complex stage iiic breast cancer diagnosis active infection requiring antibiotics
1, gemcitabine stage iiia non small cell lung cancer diagnosis patients psychotropic treatments ongoing at baseline dose schedule should not be modified within previous six weeks prior start drug
0, carmustine lymphoma diagnosis hepatic
1, vidarabine recurrent refractory childhood hodgkin lymphoma diagnosis kidneys twelve gy
0, somatostatin islet cell tumor diagnosis at least four weeks since prior wide field radiation therapy surgery
1, rituximab diffuse large cells non hodgkin lymphoma diagnosis creatinine clearance less ten ml min
1, carboplatin fallopian tube cancer diagnosis previous chemotherapy disease under study
0, fluorodeoxyglucose f bladder cancer diagnosis nyha class iii iv congestive heart failure
0, carmustine recurrent cutaneous cell non hodgkin lymphoma diagnosis demonstration clinically normal lung function based on history physical examination patients clinical evidence pulmonary disease determined by investigator should have baseline lung function tests performed demonstration diffusing capacity lung carbon monoxide dlco greater equal seventy dlco single breath adjusted hemoglobin will be utilized we will not use dlco alveolar volume va inclusion exclusion this study
1, irinotecan advanced adenocarcinoma colon rectum diagnosis patients unable unwilling discontinue substitute if necessary use prohibited drugs juices herbal supplements at least two weeks prior atorvastatin initiation see appendix list prohibited drugs juices herbal supplements
1, leucovorin stage iva colorectal cancer diagnosis no requirement concurrent antibiotics antifungal agents prevention opportunistic infections and
0, daunorubicin lymphoma diagnosis not specified
0, laboratory biomarker analysis aids related primary effusion lymphoma diagnosis age at pel diagnosis
1, liposomal doxorubicin stage multiple myeloma diagnosis participants must not have creatinine greater three mg dl gfr less three ml min doc threemtwo
0, albumin bound paclitaxel ovarian cancer diagnosis may may not have measurable residual disease
0, metronidazole stage iia primary peritoneal cavity cancer diagnosis serum glutamic oxaloacetic transaminase sgot aspartate aminotransferase ast serum glutamic pyruvic transaminase sgpt alanine aminotransferase alt equal less three uln
1, epirubicin prior current invasive breast cancer bilateral breast cancer
0, etoposide multiple myeloma diagnosis patient must have greater twoxone hundred six kg cdthirty four positive autologous stem cells available transplantation
1, tesla magnetic resonance imaging advanced adult primary liver cancer diagnosis cochlear implants pacemakers neurostimulators biostimulators electronic infusion pumps implanted materials other those verified being rated magnetic resonance mr safe mr conditional six will not be allowed on study
0, placebo prostate cancer diagnosis hypotension less ninety fiftymm hg uncontrolled hypertension greater one hundred seventy one hundred mm hg
1, blz skin neoplasms diagnosis unstable angina myocardial infarction known suspected transient ischemic events stroke within twenty four weeks screening
1, camptothecin refractory solid tumors children diagnosis severe concomitant disease infection disease
1, gemcitabine uncontrolled brain metastases spinal cord compression carcinomatous meningitis leptomeningeal disease
